created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable,is_interactive,row_timestamp,error_logging
2022-07-26 12:03:53.254 -0700,2020_CBG_B29,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,12771328,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.062 -0700,2020_CBG_B99,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,115873280,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.208 -0700,2020_CBG_C02,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,12429824,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.805 -0700,2020_CBG_C15,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,30787584,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.255 -0700,2020_CBG_C16,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,8469504,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.061 -0700,2020_CBG_C17,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,5771776,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.431 -0700,2020_CBG_C21,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,18441728,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.565 -0700,2020_CBG_C24,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,167272960,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.192 -0700,2020_CBG_GEOMETRY_WKT,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,367753728,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.214 -0700,2020_METADATA_CBG_FIELD_DESCRIPTIONS,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,8164,286720,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.060 -0700,2020_METADATA_CBG_FIPS_CODES,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,3234,25600,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.208 -0700,2020_METADATA_CBG_GEOGRAPHIC_DATA,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,6779904,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:53.234 -0700,2020_REDISTRICTING_CBG_DATA,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,45348864,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.480 -0700,2020_REDISTRICTING_METADATA_CBG_FIELD_DESCRIPTIONS,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,298,6144,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
2022-07-26 12:03:52.715 -0700,2020_REDISTRICTING_METADATA_CBG_GEOGRAPHIC_DATA,US_OPEN_CENSUS_DATA_NEIGHBORHOOD_INSIGHTS_FREE_DATASET,PUBLIC,TABLE,,,242335,6779392,,1,OFF,OFF,N,N,,N,N,N,N,N,N,OFF,OFF
